sitio,id,marca,modelo,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Camara Principal (MP),Camara frontal (MP),NFC,Precio_comprador,Precio_anterior,precio_sin_impuestos,financiacion_plazo,per_descuento,presion_impositiva_pais_per,ratio_memoria_precio,ratio_mp_precio,costo_unitario_total,Categoria
Personal,Samsung - Galaxy A06,Samsung,Galaxy A06,Samsung Galaxy A06 128 GB,Android 14,Octa-Core (2.0GHz.1.8GHz),4,128,6.7,50,8,No,247999,335999,277685,12,26,17,1878.8,4275.8,6154.6,Gama media
Personal,Motorola - Moto G35,Motorola,Moto G35,Motorola Moto G35 5G 128 GB,Android 14,Octa-Core 2.2GHz,4,128,6.72,50,16,Si,309999,491999,406610,12,37,17,2348.5,4697,7045.5,Gama media
Personal,OPPO - A60 256,OPPO,A60 256,OPPO A60 256 GB,Android 14,NA,8,256,6.67,50,5,No,394999,658999,544627,12,40,17,1496.2,7181.8,8678,Gama media
Personal,Motorola - Moto G75,Motorola,Moto G75,Motorola Moto G75 5G 128 GB,Android 14,Octa-Core 2.4GHz,8,128,6.78,50,16,Si,469999,555999,459503,12,15,17,3455.9,7121.2,10577.1,Gama alta
Personal,Samsung - Galaxy A15,Samsung,Galaxy A15,Samsung Galaxy A15 128 GB,Android 14,Octa-Core (2.2GHz - 2GHz),4,128,6.5,50,13,Si,329999,436999,361156,12,24,17,2500,5238.1,7738.1,Gama media
Personal,Nubia - Music 128,Nubia,Music 128,Nubia Music 128 GB,Android 13,NA,4,128,6.6,50,5,No,214999,264999,219007,12,19,17,1628.8,3909.1,5537.9,Gama media
Personal,Xiaomi - Redmi 14C,Xiaomi,Redmi 14C,Xiaomi Redmi 14C 256 GB,Android 14,NA,4,256,6.88,50,13,No,349589,441999,365288,12,21,17,1344.6,5549,6893.6,Gama media
Personal,Samsung - Galaxy A36,Samsung,Galaxy A36,Samsung Galaxy A36 5G 256 GB,Android 15,NA,8,256,6.7,50,12,Si,739999,925999,765288,12,20,17,2803,11935.5,14738.5,Gama alta
Personal,TCL - 505 NFC,TCL,505 NFC,TCL 505 NFC 128 GB,Android 14,NA,4,128,6.75,50,5,Si,164999,239999,198346,3,31,17,1250,3000,4250,Gama media
Personal,OPPO - A40 256,OPPO,A40 256,OPPO A40 256 GB,Android 14,NA,4,256,6.67,50,5,No,299999,485999,401652,12,38,17,1153.8,5454.5,6608.3,Gama media
Personal,Samsung - Galaxy A56,Samsung,Galaxy A56,Samsung Galaxy A56 5G 256 GB,Android 15,NA,8,256,6.7,50,12,Si,884999,1136999,939668,12,22,17,3352.3,14274.2,17626.5,Gama alta
Personal,ZTE - Blade A75,ZTE,Blade A75,ZTE Blade A75 5G 256 GB,Android 13,NA,4,256,6.6,50,8,No,239999,329999,272726,12,27,17,923.1,4137.9,5061,Gama media
Personal,ZTE - Blade A35,ZTE,Blade A35,ZTE Blade A35 64 GB,Android 14 Go,NA,2,64,6.75,8,5,No,179999,206999,171073,9,13,17,2727.3,13846.1,16573.4,Gama baja
Personal,Nubia - Focus 5G,Nubia,Focus 5G,Nubia Focus 5G 256 GB,Android 13,Octa-Core (2.2GHz-2.0GHz),6,256,6.6,108,8,Si,339999,439999,363635,12,23,17,1297.7,2931,4228.7,Gama media
Personal,OPPO - Reno 12F,OPPO,Reno 12F,OPPO Reno 12F 256 GB,Android 14,NA,12,256,6.67,50,32,Si,799999,1144999,946280,9,30,17,2985.1,9756.1,12741.2,Gama alta
Personal,Motorola - Moto E14,Motorola,Moto E14,Motorola Moto E14 64 GB,Android 14 Go,Octa-Core 1.6GHz,2,64,6.65,13,5,No,149999,201999,140277,12,26,31,2272.7,8333.3,10606,Gama baja
Personal,Xiaomi - Redmi 14C,Xiaomi,Redmi 14C,Xiaomi Redmi 14C 128 GB,Android 14,NA,4,128,6.88,50,13,No,324799,349999,289255,12,7,17,2460.6,5155.5,7616.1,Gama media
Personal,Nubia - Focus Pro,Nubia,Focus Pro,Nubia Focus Pro 5G 256 GB,Android 13,Octa-Core (2.2GHz-2.0GHz),8,256,6.72,108,32,Si,469999,539999,446280,12,13,17,1780.3,3357.1,5137.4,Gama alta
