sitio,id,marca,modelo,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Camara Principal (MP),Camara frontal (MP),NFC,Precio_comprador,Precio_anterior,precio_sin_impuestos,financiacion_plazo,per_descuento,presion_impositiva_pais_per,ratio_memoria_precio,ratio_mp_precio
Cetrogar,Nubia - Margarita Corazones,Nubia,Margarita Corazones,"Nubia Margarita Corazones Rojos 6.6"" 4GB 128GB caja strap + funda + cancionero",,Octa Core,4,128,6.6,50,50,No,211499,244999,174792,,14,29,0.4,4.7
Cetrogar,Motorola - G15,Motorola,G15,"Motorola G15 6.7"" 4GB 128GB verde",,Octa Core,4,128,6.7,50,8,Si,209999,249999,173552,,16,31,0.4,2.8
Cetrogar,Samsung - Galaxy A15,Samsung,Galaxy A15,"Samsung Galaxy A15 6.5"" 4GB 128GB light blue",Android 14,Octa-Core (2.2GHz - 2GHz),4,128,6.5,50,13,Si,271999,389999,224792,,30,42,0.5,2.3
Cetrogar,Motorola - Moto G35,Motorola,Moto G35,"Motorola Moto G35 6.7"" 5G 4GB 128GB verde",Android 14,Octa-Core 2.2GHz,4,128,6.7,50,16,Si,335999,399999,277685,,16,31,0.6,2
Cetrogar,Motorola - G85,Motorola,G85,"Motorola G85 6.6"" 8GB 256GB 5G gris",,Octa Core,8,256,6.6,50,32,Si,489999,699999,404957,,30,42,0.5,1.7
Cetrogar,Motorola - G04s,Motorola,G04s,"Motorola G04s 6.55"" 4GB 64GB azul",,Octa Core,4,64,6.55,50,5,No,179999,279999,148759,,36,47,0.6,3.1
Cetrogar,Motorola - G04s,Motorola,G04s,"Motorola G04s 6.55"" 4GB 64GB negro",,Octa Core,4,64,6.55,50,5,No,179999,279999,148759,,36,47,0.6,3.1
Cetrogar,ZTE - BLADE A75,ZTE,BLADE A75,"ZTE BLADE A75 6.6"" 5G 4GB 4GB FUSION RAM",,Octa Core,4,4,6.6,50,5,No,199999,319999,165288,,38,48,1,2.8
Cetrogar,Motorola - G85,Motorola,G85,"Motorola G85 6.6"" 8GB 256GB 5G azul",,Octa Core,8,256,6.6,50,32,Si,579999,699999,479338,,17,32,0.5,1.4
Cetrogar,Xiaomi - Redmi Note,Xiaomi,Redmi Note,"Xiaomi Redmi Note 13 6.6"" 6GB 128GB Ice blue",Android 13,Octa-Core 2.8GHz,6,128,6.6,108,16,No,429999,449999,355371,,4,21,0.7,2.9
Cetrogar,Motorola - G05,Motorola,G05,"Motorola G05 6.6"" 4G 4GB 64GB rojo",,Octa Core,4,64,6.6,50,8,No,189999,209999,157023,,10,25,0.6,3.1
Cetrogar,Infinix - Note 40,Infinix,Note 40,"Infinix Note 40 6.78"" 5G 8GB 256GB Titan GOLD",,MTK 7020,8,256,6.78,108,32,No,499999,679999,413222,,26,39,0.5,2.8
Cetrogar,Motorola - G04s,Motorola,G04s,"Motorola G04s 6.55"" 4GB 64GB verde",,Octa Core,4,64,6.55,50,5,No,179999,279999,148759,,36,47,0.6,3.1
Cetrogar,OPPO - A60,OPPO,A60,"OPPO A60 6.7"" 8GB 256GB blanco",,Octa Core,8,256,6.7,50,5,No,394999,569999,326445,,31,43,0.3,1.4
Cetrogar,Xiaomi - A3,Xiaomi,A3,"Xiaomi A3 6.7"" 3GB 64GB azul",,Octa Core,3,64,6.7,8,5,No,189999,199999,157023,,5,21,0.6,0.7
Cetrogar,Nubia - Neo 2,Nubia,Neo 2,"Nubia Neo 2 6.7"" 5G 8GB 256GB amarillo",,Octa Core,8,256,6.7,50,16,Si,419999,455999,347106,,8,24,0.4,1.6
Cetrogar,Samsung - Galaxy S24,Samsung,Galaxy S24,"Samsung Galaxy S24 FE 6.7"" 8GB 256GB Graphite",Android 14,Deca Core 3.1 GHz,8,256,6.7,50,10,Si,1159999,1399999,958676,,17,32,0.8,0.5
