producto_url,nombre,Precio_comprador,Precio_anterior,precio_sin_impuestos,financiacion_plazo,Modelo,Cámara frontal,Sistema Operativo,Tipo de SIM (no incluida),Red,Frecuencia 2G,Frecuencia 3G,Frecuencia 4G,Frecuencia 5G,Batería,Memoria RAM,Memoria Interna,Peso,Dimensión del equipo,Llamadas por WiFi,NFC,Sensores,Cámara trasera,Display,Procesador,Celular Liberado,Memoria Externa,Cargador,Características,Auriculares,Cable USB C,Cover,Otros,sitio
https://tienda.claro.com.ar/pdp/equipos/motorola-razr-60-ultra-5g-1tb,Motorola Razr 60 Ultra 5G 1TB,$1.999.999,,$1.652.892,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2551-6,50,Android 15,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 43 y 66.","Bandas 1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 66, 70, 71, 75, 77 y 78.",4700 mAh,16,1 TB | Disponibles 965 GB,200 g,171.4 x 73.9 x 7.2 mm,Si,Si,Reconocimiento Facial,50 mpx con flash LED | Dual | Zoom digital 30x,6.9'' FHD+ OLED,Octa Core 4.32 GHz,Si,,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a15-128gb,Samsung Galaxy A15 128GB,$311.999,$389.999,$257.851,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A155M,13,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 39, 40, 41 y 66.",,5000 mAh,4,128 GB,200 g,"160,1 x 76,8 x 8,4 mm",Si,SI,"Proximidad, luminosidad, giroscopio, acelerómetro y reconocimiento dactilar.",50 mpx con flash LED | Triple | Zoom digital 10x,6.5'' FHD+ Amoled,"Octa Core 2.2 GHz, 2 GHz",Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/moto-e14-64gb?color=lavanda,Moto E14 64GB,$146.699,$162.999,$111.558,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2421-12,5,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40 y 66.",,5000 mAh,2,64 GB | Disponibles 48 GB,178 g,"163,4 x 74,5 x 7,9 mm",Si,No,"Proximidad, luminosidad, acelerómetro y reconocimiento facial.",13 mpx con flash LED | Zoom digital 4x,6.5'' HD+ IPS,Octa Core 1.6 GHz,Si,MicroSD hasta 512GB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-128gb,Samsung Galaxy A06 128GB,$223.999,$279.999,$185.123,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A065M,8,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 41 y 66.",,5000 mAh,4,128 GB,195 g,"167,3 x 77,3 x 8 mm",Si,No,"Proximidad, luminosidad, giroscopio, acelerómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Dual,6.7'' HD+,"Octa Core 2GHz, 1.8GHz",Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/moto-g04s-64gb?color=verde,Moto G04s 64GB,$178.499,$209.999,$147.520,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2421-7,5,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40 y 66.",,5000 mAh,4,64 GB | Disponibles 48 GB,180 g,"163,4 x 74,5 x 7,9 mm",No,No,"Proximidad, luminosidad, giroscopio, acelerómetro, reconocimiento dactilar y facial.",50 mpx con flash LED,6.5'' HD+ IPS,Octa Core 1.6 GHz,Si,MicroSD hasta 512GB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a26-5g-256gb,Samsung Galaxy A26 5G 256GB,$639.999,,$528.925,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A266M,13,Android 15,Nano-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41 y 66.","Bandas 1, 2, 3, 7, 38, 39, 40, 41, 65, 66, 77 y 78.",5000 mAh,8,256 GB | Disponibles 235 GB,197 g,164 x 77.5 x 7.7 mm,Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, magnetómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Triple | Zoom digital 10x,6.7'' FHD+ Super AMOLED,"Octa Core 2.4GHz,2GHz",Si,MicroSD hasta 2TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/tcl-50-5g-128gb,TCL 50 5G 128GB,$239.999,$299.999,$198.346,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,T613P,8,Android 14,Nano-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 42 y 66.","Bandas 1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 66, 71, 77 y 78.",5010 mAh,4,128 GB | Disponibles 95 GB,"183,5 g","164 x 75 x 8,3 mm",Si,Si,,50 mpx con flash LED | Dual | Zoom digital 4x,"6,56'' HD IPS","Octa Core 2.2 GHz, 2.0 GHz",Si,MicroSD hasta 2 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-64gb?color=celeste,Samsung Galaxy A06 64GB,$191.999,$239.999,$158.677,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A065M,8,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 41 y 66.",,5000 mAh,4,64 GB,195 g,"167,3 x 77,3 x 8 mm",Si,No,"Proximidad, luminosidad, giroscopio, acelerómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Dual,6.7'' HD+,"Octa Core 2GHz, 1.8GHz",Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/apple-iphone-15-256gb,ERROR EXTRACCIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/motorola-razr-50-ultra-5g-512gb,Motorola Razr 50 Ultra 5G 512GB,$1.519.999,$1.899.999,$1.256.198,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2451-3,32,Android 14,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43 y 66.","Bandas 1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 71, 75, 77 y 78.",4000 mAh,12,512 GB | Disponibles 475 GB,189 g,"171,42 x 73,99 x 7,09 mm",Si,Si,"Proximidad, Luminosidad, Giroscopio, Acelerómetro, Reconocimiento Dactilar y Reconocimiento Facial.",50 mpx con flash LED | Dual | Zoom digital 30x,6.9'' FHD+ pOLED,Octa Core 2.9 GHz,Si,,Si,,,,,,Claro
